[Header]	
System	TOC-L_ASI_EXSPGDSBL	
S/W Version	1.00	
User		
Date/Time	8/11/2021 12:45:02 PM	
Comments		

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Control	NPOC	CCB	CCB	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: -0.02713 / Control within range!		8/11/2021 2:15:00 AM	1	2	NPOC	0.7951	0.8842	-0.03706	-0.02713	NPOC:-0.02713mg/L	NPOC:-0.02713mg/L	*******	0.1261	14.26	0.01405	-51.77	42	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.1 / Control within range!		8/11/2021 2:25:56 AM	1	1	NPOC	45.93	46.50	4.991	5.055	NPOC:5.055mg/L	NPOC:5.055mg/L	*******	0.8061	1.73	0.08980	1.78	56	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.1 / Control within range!		8/11/2021 2:30:18 AM	1	2	NPOC	47.07	46.50	5.118	5.055	NPOC:5.055mg/L	NPOC:5.055mg/L	*******	0.8061	1.73	0.08980	1.78	56	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 9:29:05 AM	1	1	NPOC	0.9032	0.8215	-0.02502	-0.03413	NPOC:-0.03413mg/L	NPOC:-0.03413mg/L	*******	0.1156	14.07	0.01288	-37.74	3	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 9:33:25 AM	1	2	NPOC	0.7397	0.8215	-0.04324	-0.03413	NPOC:-0.03413mg/L	NPOC:-0.03413mg/L	*******	0.1156	14.07	0.01288	-37.74	3	0	150	1.000	
Control	NPOC	CCB	CCB	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: -0.04360 / Control within range!		8/11/2021 9:43:38 AM	1	1	NPOC	0.7758	0.7365	-0.03921	-0.04360	NPOC:-0.04360mg/L	NPOC:-0.04360mg/L	*******	0.05565	7.56	0.00620	-14.22	42	0	150	1.000	
Control	NPOC	CCB	CCB	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: -0.04360 / Control within range!		8/11/2021 9:47:52 AM	1	2	NPOC	0.6971	0.7365	-0.04798	-0.04360	NPOC:-0.04360mg/L	NPOC:-0.04360mg/L	*******	0.05565	7.56	0.00620	-14.22	42	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.1 / Control within range!		8/11/2021 9:59:19 AM	1	1	NPOC	45.75	46.51	4.971	5.055	NPOC:5.055mg/L	NPOC:5.055mg/L	*******	1.068	2.30	0.1190	2.35	56	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.1 / Control within range!		8/11/2021 10:03:49 AM	1	2	NPOC	47.26	46.51	5.139	5.055	NPOC:5.055mg/L	NPOC:5.055mg/L	*******	1.068	2.30	0.1190	2.35	56	0	150	1.000	
Unknown	NPOC	MEFF Dissolved	ME00124-04	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 10:14:46 AM	1	1	NPOC	61.70	61.53	6.748	6.729	NPOC:6.729mg/L	NPOC:6.729mg/L	*******	0.2475	0.40	0.02757	0.41	45	0	150	1.000	
Unknown	NPOC	MEFF Dissolved	ME00124-04	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 10:19:02 AM	1	2	NPOC	61.35	61.53	6.709	6.729	NPOC:6.729mg/L	NPOC:6.729mg/L	*******	0.2475	0.40	0.02757	0.41	45	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 10:29:07 AM	1	1	NPOC	1.836	1.413	0.07890	0.03178	NPOC:0.03178mg/L	NPOC:0.03178mg/L	*******	0.5981	42.32	0.06663	209.63	3	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 10:33:21 AM	1	2	NPOC	0.9902	1.413	-0.01533	0.03178	NPOC:0.03178mg/L	NPOC:0.03178mg/L	*******	0.5981	42.32	0.06663	209.63	3	0	150	1.000	
Control	NPOC	EPADMD	WQ00068-02RE2	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 22.02 / Control exceeds range!		8/11/2021 10:45:50 AM	1	1	NPOC	197.9	198.8	21.92	22.02	NPOC:22.02mg/L	NPOC:22.02mg/L	*******	1.202	0.60	0.1339	0.61	40	0	150	1.000	
Control	NPOC	EPADMD	WQ00068-02RE2	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 22.02 / Control exceeds range!		8/11/2021 10:49:45 AM	1	2	NPOC	199.6	198.8	22.11	22.02	NPOC:22.02mg/L	NPOC:22.02mg/L	*******	1.202	0.60	0.1339	0.61	40	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 11:28:01 AM	1	1	NPOC	3.471	2.732	0.2610	0.1788	NPOC:0.1788mg/L	NPOC:0.1788mg/L	*******	1.044	38.22	0.1164	65.08	3	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 11:32:12 AM	1	2	NPOC	1.994	2.732	0.09650	0.1788	NPOC:0.1788mg/L	NPOC:0.1788mg/L	*******	1.044	38.22	0.1164	65.08	3	0	150	1.000	
Unknown	NPOC	RO1 inst rm	RO1 inst rm	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 11:42:26 AM	1	1	NPOC	1.197	1.175	0.00771	0.00526	NPOC:0.00526mg/L	NPOC:0.00526mg/L	*******	0.03111	2.65	0.00347	65.91	58	0	150	1.000	
Unknown	NPOC	RO1 inst rm	RO1 inst rm	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 11:46:40 AM	1	2	NPOC	1.153	1.175	0.00281	0.00526	NPOC:0.00526mg/L	NPOC:0.00526mg/L	*******	0.03111	2.65	0.00347	65.91	58	0	150	1.000	
Unknown	NPOC	RO BOD	RO BOD	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 11:56:45 AM	1	1	NPOC	1.188	1.111	0.00671	-0.00193	NPOC:-0.00193mg/L	NPOC:-0.00193mg/L	*******	0.1096	9.87	0.01221	-633.65	59	0	150	1.000	
Unknown	NPOC	RO BOD	RO BOD	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 12:00:59 PM	1	2	NPOC	1.033	1.111	-0.01056	-0.00193	NPOC:-0.00193mg/L	NPOC:-0.00193mg/L	*******	0.1096	9.87	0.01221	-633.65	59	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 12:11:05 PM	1	1	NPOC	1.003	0.9606	-0.01390	-0.01863	NPOC:-0.01863mg/L	NPOC:-0.01863mg/L	*******	0.05996	6.24	0.00668	-35.86	1	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/11/2021 12:15:19 PM	1	2	NPOC	0.9182	0.9606	-0.02335	-0.01863	NPOC:-0.01863mg/L	NPOC:-0.01863mg/L	*******	0.05996	6.24	0.00668	-35.86	1	0	150	1.000	
Control	NPOC	CCB	CCB	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: -0.03771 / Control within range!		8/11/2021 12:25:34 PM	1	1	NPOC	0.7282	0.7893	-0.04452	-0.03771	NPOC:-0.03771mg/L	NPOC:-0.03771mg/L	*******	0.08641	10.95	0.00963	-25.53	42	0	150	1.000	
Control	NPOC	CCB	CCB	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: -0.03771 / Control within range!		8/11/2021 12:29:48 PM	1	2	NPOC	0.8504	0.7893	-0.03090	-0.03771	NPOC:-0.03771mg/L	NPOC:-0.03771mg/L	*******	0.08641	10.95	0.00963	-25.53	42	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.5 / Control within range!		8/11/2021 12:40:55 PM	1	1	NPOC	46.96	46.66	5.106	5.073	NPOC:5.073mg/L	NPOC:0.000mg/L	*******	0.4243	0.91	0.04727	0.93	56	0	150	1.000	
Control	NPOC	CCC	CCC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.5 / Control within range!		8/11/2021 12:45:02 PM	1	2	NPOC	46.36	46.66	5.039	5.073	NPOC:5.073mg/L	NPOC:0.000mg/L	*******	0.4243	0.91	0.04727	0.93	56	0	150	1.000	
